"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Special Mention)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Budget (Railways))";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Submissions By Members)";"Debates (Ls - Motion To Consider Policy, Situation, Statement Or Any Other Matter (Rule- 191 & 342))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Questions (Tribal Affairs)";"Questions (Finance)";"Questions (Health And Family Welfare)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Railways)";"Questions (Human Resource Development)";"Questions (Urban Development)";"Questions (Home Affairs)";"Questions (Agriculture)";"Questions (Civil Aviation)";"Questions (Prime Minister)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Environment And Forests)";"Questions (Labour And Employment)";"Questions (Defence)";"Questions (Power)";"Questions (Social Justice And Empowerment)";"Questions (Road Transport And Highways)";"Questions (Steel)";"Questions (Petroleum And Natural Gas)";"Questions (Minority Affairs)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Commerce And Industry)";"Questions (Overseas Indian Affairs)";"Questions (External Affairs)";"Questions (Chemicals And Fertilizers)";"Questions (Law And Justice)";"Questions (Mines)";"Questions (Women And Child Development)";"Questions (New And Renewable Energy)";"Questions (Shipping)";"Questions (Tourism)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Information And Broadcasting)";"Questions (Textiles)";"Questions (Water Resources)";"Questions (Culture)";"Questions (Youth Affairs And Sports)";"Questions (Coal)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Drinking Water And Sanitation)";"Questions (Development Of North Eastern Region)";"Questions (Earth Sciences)";"Questions (Panchayati Raj)";"Questions (Food Processing Industries)";"Questions (Statistics And Programme Implementation)";"Questions (Science And Technology)";"Debates (Private Members' Bills)";"Debates (Private Members' Resolutions)";"Debates (Government Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Budget (States))";"Debates (Ls - Matters Of Urgent Public Importance (Rule-184))";"Debates (Statutory Resolutions)";"Debates (Felicitations)";"Debates (Adjournment Motion)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Parliamentary Affairs)";"Debates (Others)";"Debates (Clarification On The Statement By Minister)";"Questions (Planning)";"Debates (Ls - Explanation By Members (Rule-199))"
"C. L. Ruala";"Mizoram";"No";"94.38%";"2";"12";"0";"Mizoram";"Indian National Congress";"Elected";"18 May 09";"In office";"";"78";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C. M. Chang";"Nagaland";"No";"79.07%";"1";"33";"0";"Nagaland";"Nagaland People's Front";"Elected";"18 May 09";"21/09/2013";"";"70";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"4";"0";"2";"1";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"4";"1";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C. P. Joshi";"Bhilwara";"Yes";"95.00%";"0";"0";"0";"Rajasthan";"Indian National Congress";"Elected";"18 May 09";"In office";"";"63";"Male";"Doctorate";"This MP was a Minister. He tendered his resignation on 16th Jun, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 5th Aug, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C. Rajendran";"Chennai South";"No";"76.38%";"48";"411";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"53";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"18";"10";"4";"5";"5";"2";"0";"0";"3";"1";"11";"37";"0";"1";"23";"24";"5";"20";"22";"5";"12";"33";"24";"13";"18";"14";"4";"10";"0";"16";"1";"15";"9";"7";"3";"8";"4";"7";"1";"9";"5";"6";"1";"2";"8";"4";"6";"5";"4";"1";"1";"3";"0";"1";"0";"3";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"C. R. Patil";"Navsari";"No";"76.81%";"22";"468";"2";"Gujarat";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"58";"Male";"Certificate Course";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"9";"0";"0";"2";"4";"1";"3";"2";"1";"0";"21";"35";"1";"0";"31";"39";"12";"32";"15";"9";"16";"19";"29";"1";"10";"3";"6";"24";"0";"19";"3";"7";"16";"14";"1";"14";"5";"7";"3";"3";"5";"8";"3";"2";"5";"6";"8";"4";"4";"15";"4";"8";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C. Sivasami";"Tiruppur";"No";"76.88%";"58";"700";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"56";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"15";"6";"5";"13";"4";"3";"1";"1";"7";"2";"55";"54";"3";"6";"32";"30";"11";"56";"24";"33";"17";"19";"25";"13";"34";"16";"7";"17";"3";"25";"1";"30";"14";"24";"2";"21";"5";"11";"4";"9";"6";"5";"1";"1";"8";"22";"16";"7";"10";"8";"1";"3";"1";"2";"1";"3";"0";"2";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Daggubati Purandeswari";"Visakhapatnam";"Yes";"";"0";"0";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"54";"Female";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Danapal Venugopal";"Tiruvannamalai";"No";"65.88%";"27";"5";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"82";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2";"23";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dara Singh Chauhan";"Ghosi";"No";"91.94%";"130";"92";"0";"Uttar Pradesh";"Bahujan Samaj Party";"Elected";"18 May 09";"In office";"";"50";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"33";"0";"15";"5";"9";"1";"36";"2";"18";"5";"4";"2";"0";"0";"12";"10";"0";"5";"2";"0";"4";"1";"0";"2";"1";"0";"6";"4";"0";"0";"0";"3";"3";"0";"1";"1";"2";"1";"0";"1";"1";"0";"1";"0";"4";"9";"5";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"1";"0";"0";"2";"2";"0";"1";"1";"0";"0"
"Darshana Vikram Jardosh";"Surat";"No";"86.50%";"71";"337";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"53";"Female";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"22";"13";"6";"11";"7";"2";"7";"0";"2";"0";"19";"17";"1";"0";"22";"25";"6";"23";"14";"6";"5";"7";"22";"1";"9";"4";"2";"19";"0";"15";"0";"20";"12";"5";"0";"13";"10";"6";"4";"0";"1";"5";"1";"1";"5";"5";"6";"3";"2";"8";"4";"4";"0";"3";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Datta Raghobaji Meghe";"Wardha";"No";"87.81%";"59";"308";"0";"Maharashtra";"Indian National Congress";"Elected";"18 May 09";"In office";"";"77";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"15";"31";"1";"6";"4";"1";"0";"0";"1";"5";"16";"26";"0";"4";"6";"13";"0";"13";"25";"6";"11";"11";"21";"1";"5";"5";"3";"8";"2";"10";"0";"15";"13";"20";"0";"6";"5";"2";"2";"3";"1";"0";"1";"3";"7";"7";"10";"3";"2";"9";"3";"2";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Davidson J. Helen";"Kanniyakumari";"No";"83.06%";"47";"193";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"42";"Female";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2";"28";"5";"3";"5";"1";"1";"0";"2";"5";"5";"10";"0";"0";"14";"16";"2";"2";"17";"7";"1";"7";"12";"7";"1";"1";"8";"5";"2";"1";"1";"2";"9";"8";"1";"1";"2";"2";"0";"12";"0";"1";"3";"2";"9";"1";"2";"3";"5";"0";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dayanidhi Maran";"Chennai Central";"Yes";"59.56%";"1";"0";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"47";"Male";"Graduate";"This MP was a Minister. He tendered his resignation on 12th Jul, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th Jul, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"D.B. Chandre Gowda";"Bangalore North";"No";"60.44%";"7";"750";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"77";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"3";"1";"1";"0";"0";"0";"0";"0";"4";"46";"59";"12";"4";"50";"30";"14";"76";"35";"39";"27";"13";"35";"17";"25";"14";"5";"25";"3";"20";"4";"27";"13";"15";"1";"15";"18";"17";"9";"9";"6";"10";"0";"1";"8";"5";"7";"5";"8";"6";"5";"3";"0";"2";"1";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Deepa Dashmunsi";"Raiganj";"Yes";"78.36%";"9";"328";"0";"West Bengal";"Indian National Congress";"Elected";"18 May 09";"In office";"";"52";"Female";"Post Graduate";"This MP was appointed a minister in Oct, 2012. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2";"0";"0";"2";"0";"0";"3";"1";"0";"5";"21";"19";"0";"0";"16";"16";"8";"17";"13";"14";"4";"13";"9";"9";"7";"8";"10";"9";"1";"11";"1";"12";"10";"6";"1";"6";"10";"1";"4";"10";"2";"2";"3";"4";"5";"4";"6";"1";"9";"11";"0";"1";"0";"1";"3";"1";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Deepender Singh Hooda";"Rohtak";"No";"81.06%";"16";"83";"1";"Haryana";"Indian National Congress";"Elected";"18 May 09";"In office";"";"36";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"3";"2";"4";"1";"1";"1";"1";"0";"0";"3";"9";"0";"0";"6";"4";"0";"0";"9";"2";"0";"3";"6";"1";"1";"3";"0";"2";"1";"3";"0";"2";"5";"1";"0";"2";"1";"0";"1";"1";"4";"0";"0";"0";"0";"0";"3";"0";"5";"1";"0";"0";"0";"0";"2";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Deoraj Singh Patel";"Rewa";"No";"88.94%";"11";"112";"0";"Madhya Pradesh";"Bahujan Samaj Party";"Elected";"18 May 09";"In office";"";"45";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"10";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"0";"0";"8";"5";"3";"4";"6";"8";"0";"9";"8";"1";"1";"5";"6";"3";"0";"2";"0";"2";"4";"1";"0";"2";"4";"0";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"8";"7";"1";"1";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Devendra Nagpal";"Amroha";"No";"52.94%";"9";"43";"0";"Uttar Pradesh";"Rashtriya Lok Dal";"Elected";"18 May 09";"In office";"";"43";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"4";"0";"0";"3";"0";"0";"0";"1";"0";"0";"3";"0";"0";"8";"3";"0";"1";"0";"0";"3";"1";"1";"0";"0";"0";"0";"3";"0";"4";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"3";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Devidhan Besra";"Rajmahal";"No";"70.81%";"2";"0";"0";"Jharkhand";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"74";"Male";"Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Devji Patel";"Jalore";"No";"77.69%";"109";"420";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"37";"Male";"Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"63";"18";"0";"2";"6";"1";"13";"0";"2";"2";"32";"22";"0";"2";"35";"28";"4";"15";"34";"8";"4";"10";"8";"9";"7";"12";"6";"29";"2";"9";"2";"7";"15";"12";"2";"4";"5";"6";"2";"3";"9";"3";"5";"7";"7";"3";"19";"0";"7";"5";"4";"3";"0";"2";"1";"5";"1";"2";"0";"0";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0"
"Dhananjay Singh";"Jaunpur";"No";"62.19%";"52";"241";"0";"Uttar Pradesh";"Bahujan Samaj Party";"Elected";"18 May 09";"In office";"";"38";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"21";"5";"9";"3";"3";"0";"6";"1";"2";"1";"23";"18";"1";"4";"4";"13";"4";"9";"11";"3";"7";"10";"8";"6";"13";"7";"3";"3";"1";"6";"1";"11";"7";"7";"1";"5";"5";"3";"3";"3";"4";"3";"1";"2";"1";"0";"4";"3";"4";"5";"2";"1";"1";"3";"3";"3";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dharmendra Yadav";"Badaun";"No";"72.06%";"19";"973";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"18 May 09";"In office";"";"35";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"7";"3";"0";"0";"3";"1";"2";"0";"2";"2";"61";"90";"4";"2";"53";"95";"11";"55";"68";"20";"19";"34";"41";"18";"25";"22";"7";"29";"3";"44";"1";"30";"39";"32";"1";"12";"14";"8";"7";"14";"4";"3";"2";"2";"11";"17";"28";"1";"9";"13";"6";"3";"0";"1";"4";"5";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Dhruva Narayana Rangaswamy";"Chamrajanagar";"No";"77.50%";"71";"666";"0";"Karnataka";"Indian National Congress";"Elected";"18 May 09";"In office";"";"52";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"17";"39";"4";"2";"5";"2";"0";"0";"1";"5";"51";"30";"2";"5";"24";"64";"8";"24";"44";"13";"15";"36";"22";"8";"21";"17";"4";"20";"2";"17";"6";"34";"23";"29";"2";"15";"10";"7";"4";"11";"2";"3";"8";"3";"8";"12";"16";"4";"4";"6";"4";"8";"0";"0";"1";"5";"1";"8";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Digvijay Singh";"Banka";"No";"76.75%";"2";"0";"0";"Bihar";"Independent";"Elected";"18 May 09";"24/06/2010";"";"58";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dilip Kumar Mansukhlal Gandhi";"Ahmednagar";"No";"66.19%";"48";"278";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"62";"Male";"Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"24";"7";"2";"3";"3";"1";"3";"0";"3";"2";"17";"17";"0";"0";"19";"8";"6";"12";"16";"13";"5";"8";"10";"3";"12";"3";"2";"9";"0";"14";"1";"10";"6";"3";"3";"7";"5";"7";"0";"2";"5";"3";"4";"1";"2";"2";"12";"9";"5";"0";"3";"2";"1";"0";"4";"2";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Dilip Singh Ju Dev";"Bilaspur";"No";"48.29%";"2";"264";"0";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"18 May 09";"14/08/2013";"";"71";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"1";"0";"0";"1";"0";"0";"0";"0";"14";"5";"12";"2";"1";"9";"17";"1";"11";"9";"6";"8";"14";"13";"4";"8";"11";"5";"8";"4";"7";"1";"11";"7";"6";"1";"2";"6";"2";"3";"4";"2";"1";"2";"2";"6";"7";"2";"2";"4";"12";"5";"4";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dimple Yadav";"Kannauj";"No";"22.00%";"0";"0";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"9 Jun 12";"In office";"";"36";"Female";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dinesh Chandra Yadav";"Khagaria";"No";"87.75%";"50";"438";"0";"Bihar";"Janata Dal (United)";"Elected";"18 May 09";"In office";"";"63";"Male";"Diploma Course";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"33";"1";"1";"8";"0";"2";"0";"0";"3";"63";"11";"4";"3";"12";"14";"4";"8";"29";"1";"29";"23";"10";"15";"3";"12";"1";"20";"4";"34";"1";"11";"10";"34";"0";"10";"8";"0";"3";"1";"2";"1";"0";"5";"10";"9";"5";"0";"3";"16";"0";"0";"0";"1";"1";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dinesh Kashyap";"Bastar";"No";"47.78%";"1";"13";"0";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"13 May 11";"In office";"";"51";"Male";"Others";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"1";"0";"1";"1";"0";"2";"1";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dinesh Trivedi";"Barrackpur";"Yes";"80.29%";"3";"0";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18 May 09";"In office";"";"63";"Male";"Post Graduate";"This MP was a Minister. He tendered his resignation on 18th Mar, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 19th Mar, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dinsha J. Patel";"Kheda";"Yes";"";"0";"0";"0";"Gujarat";"Indian National Congress";"Elected";"18 May 09";"In office";"";"76";"Male";"Matric";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dip Gogoi";"Kaliabor";"No";"78.38%";"0";"0";"0";"Assam";"Indian National Congress";"Elected";"18 May 09";"In office";"";"62";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"D.K. Suresh";"Bangalore Rural";"No";"100.00%";"0";"12";"0";"Karnataka";"Indian National Congress";"Elected";"26 Aug 13";"In office";"";"47";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"D. Napoleon";"Perambalur";"Yes";"3.25%";"0";"0";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"50";"Male";"Graduate";"This MP was a Minister. He tendered his resignation on 20th Mar, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 21st Mar, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dudhgaonkar Ganeshrao Nagorao";"Parbhani";"No";"92.50%";"45";"418";"0";"Maharashtra";"Shiv Sena";"Elected";"18 May 09";"In office";"";"68";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"6";"15";"5";"6";"9";"0";"2";"0";"2";"0";"33";"25";"2";"2";"20";"29";"8";"35";"17";"7";"9";"29";"11";"10";"8";"8";"5";"16";"3";"8";"0";"17";"23";"13";"4";"3";"9";"2";"0";"5";"1";"5";"2";"4";"6";"10";"7";"7";"3";"5";"3";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
