"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Ls - Matters Under (Rule-377))";"Debates (Special Mention)";"Debates (Government Bills)";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Private Members' Bills)";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Budget (General))";"Debates (Motion Of Thanks On The President�S Address)";"Questions (Development Of North Eastern Region)";"Questions (Law And Justice)";"Questions (Health And Family Welfare)";"Questions (Minority Affairs)";"Questions (Textiles)";"Questions (Railways)";"Questions (Home Affairs)";"Questions (Environment, Forest And Climate Change)";"Questions (Tourism)";"Questions (Culture)";"Questions (Ayush)";"Questions (Ports, Shipping And Waterways)";"Questions (Jal Shakti)";"Questions (Communications)";"Questions (Planning)";"Questions (Agriculture And Farmers Welfare)";"Questions (Finance)";"Questions (Prime Minister)";"Questions (Women And Child Development)";"Questions (Road Transport And Highways)";"Questions (Social Justice And Empowerment)";"Questions (Coal)";"Questions (Parliamentary Affairs)";"Questions (Tribal Affairs)";"Questions (Education)";"Questions (External Affairs)";"Questions (Civil Aviation)";"Questions (Commerce And Industry)";"Questions (Statistics And Programme Implementation)";"Questions (Power)";"Questions (Labour And Employment)";"Questions (Steel)";"Questions (Defence)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Electronics And Information Technology)";"Questions (Rural Development)";"Questions (Panchayati Raj)";"Questions (Information And Broadcasting)";"Questions (Youth Affairs And Sports)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Housing And Urban Affairs)";"Questions (Petroleum And Natural Gas)";"Questions (Skill Development And Entrepreneurship)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Human Resource Development)";"Questions (Shipping)";"Questions (Earth Sciences)";"Questions (Food Processing Industries)";"Questions (Mines)";"Questions (Cooperation)";"Questions (Chemicals And Fertilizers)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (New And Renewable Energy)";"Questions (Science And Technology)";"Questions (Statiscs And Programme Implementation)";"Debates (Others)";"Debates (Discussion)";"Debates (Private Members' Resolutions)";"Debates (Submissions By Members)";"Debates (Statement By Minister)";"Debates (Clarification On The Statement By Minister)";"Debates (Felicitations)";"Questions (Consumer Affairs)";"Questions (Micro)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Atomic Energy)";"Questions (Heavy Industries)";"Questions (Space)";"Questions (Personnel, Public Grievances And Pensions)"
"C.N. Annadurai";"Tiruvannamalai";"No";"80.33%";"55";"451";"1";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"23-05-2019";"In Office";"First Term";"50";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"22";"16";"3";"2";"0";"1";"11";"0";"0";"6";"40";"0";"28";"19";"6";"11";"15";"9";"16";"0";"7";"7";"0";"36";"14";"0";"8";"14";"8";"11";"0";"1";"27";"1";"8";"22";"0";"0";"6";"0";"3";"6";"2";"10";"0";"6";"5";"0";"1";"21";"14";"7";"19";"1";"0";"1";"10";"2";"0";"6";"7";"1";"8";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"D. Ravikumar";"Viluppuram";"No";"68.00%";"60";"220";"5";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"23-05-2019";"In Office";"First Term";"63";"Male";"Doctorate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"14";"10";"15";"4";"0";"3";"13";"1";"0";"13";"13";"13";"6";"4";"12";"2";"0";"4";"0";"0";"4";"2";"1";"6";"10";"7";"14";"5";"11";"4";"0";"7";"13";"4";"4";"4";"0";"3";"3";"0";"0";"3";"8";"9";"1";"2";"2";"0";"1";"4";"0";"3";"4";"3";"0";"1";"0";"0";"0";"3";"1";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"Dabhi Bharatsinhji Shankarji";"Patan";"No";"90.73%";"6";"6";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"68";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"3";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Darshana Vikram Jardosh";"Surat";"Yes";"89.60%";"32";"64";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Third Term";"63";"Female";"Graduate";"This MP was appointed a minister in Jul 2021. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till June 2021. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"8";"6";"2";"2";"0";"0";"13";"1";"0";"1";"7";"0";"2";"6";"2";"2";"1";"0";"1";"1";"3";"0";"0";"3";"2";"2";"1";"3";"1";"0";"0";"0";"1";"2";"2";"0";"0";"0";"3";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"6";"1";"1";"1";"1";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dayakar Pasunoori";"Warangal";"No";"57.00%";"3";"149";"0";"Telangana";"Bharat Rashtra Samithi";"Elected";"23-05-2019";"In Office";"Second Term";"56";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"1";"2";"0";"0";"0";"0";"0";"0";"0";"3";"10";"2";"3";"8";"6";"4";"1";"1";"0";"0";"3";"4";"1";"5";"10";"1";"4";"4";"5";"3";"0";"0";"6";"3";"4";"4";"2";"1";"4";"1";"6";"7";"2";"4";"2";"0";"2";"0";"0";"3";"3";"5";"1";"2";"0";"0";"0";"0";"1";"2";"1";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dayanidhi Maran";"Chennai Central";"No";"75.73%";"20";"136";"0";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"23-05-2019";"In Office";"Third Term";"57";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"1";"9";"1";"0";"1";"7";"0";"0";"4";"16";"2";"2";"9";"7";"2";"2";"2";"0";"1";"3";"2";"0";"1";"8";"0";"5";"3";"1";"0";"0";"0";"5";"5";"8";"4";"0";"2";"0";"2";"0";"1";"5";"3";"0";"4";"2";"3";"3";"4";"3";"0";"2";"3";"0";"3";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dean Kuriakose";"Idukki";"No";"90.33%";"91";"289";"12";"Kerala";"Indian National Congress";"Elected";"23-05-2019";"In Office";"First Term";"42";"Male";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"24";"32";"8";"4";"1";"4";"16";"1";"0";"6";"23";"4";"0";"13";"7";"11";"9";"0";"4";"0";"7";"5";"0";"14";"10";"6";"8";"18";"7";"1";"0";"3";"10";"8";"6";"15";"2";"8";"11";"1";"3";"4";"2";"14";"0";"3";"2";"2";"0";"5";"7";"4";"3";"7";"0";"2";"5";"0";"0";"6";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Debasree Chaudhuri";"Raiganj";"Yes";"95.30%";"9";"189";"0";"West Bengal";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"53";"Female";"Post Graduate";"This MP was a minister from May 30, 2019 to July 07, 2021. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"9";"0";"0";"0";"0";"0";"0";"0";"0";"6";"11";"0";"3";"4";"4";"6";"1";"4";"7";"5";"2";"4";"1";"9";"10";"8";"1";"2";"2";"5";"0";"4";"5";"3";"8";"0";"1";"1";"4";"2";"6";"1";"3";"2";"1";"1";"2";"6";"1";"3";"5";"0";"4";"0";"0";"2";"6";"0";"3";"9";"5";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Deepak Baij";"Bastar";"No";"81.00%";"37";"301";"0";"Chhattisgarh";"Indian National Congress";"Elected";"23-05-2019";"In Office";"First Term";"42";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"18";"11";"2";"0";"0";"2";"4";"0";"0";"9";"29";"4";"2";"23";"21";"12";"2";"0";"0";"0";"7";"0";"0";"18";"24";"4";"9";"10";"5";"6";"0";"4";"7";"10";"11";"4";"3";"1";"13";"2";"3";"11";"2";"6";"0";"1";"2";"0";"0";"4";"14";"0";"2";"6";"0";"0";"0";"1";"0";"5";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Devendra Singh @ Bhole Singh";"Akbarpur";"No";"89.40%";"25";"51";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"69";"Male";"Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"10";"7";"0";"0";"0";"0";"7";"1";"0";"1";"1";"0";"1";"4";"0";"1";"0";"2";"4";"0";"1";"3";"0";"5";"0";"0";"1";"2";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"5";"2";"0";"0";"1";"0";"1";"0";"2";"1";"0";"0";"0";"1";"1";"0";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Devji Patel";"Jalore";"No";"74.73%";"134";"442";"5";"Rajasthan";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Third Term";"47";"Male";"Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"22";"89";"0";"3";"0";"4";"13";"1";"0";"6";"37";"1";"6";"39";"5";"10";"11";"9";"15";"7";"20";"15";"3";"23";"8";"2";"11";"20";"6";"0";"0";"9";"19";"2";"10";"7";"0";"3";"12";"1";"7";"5";"5";"10";"9";"5";"7";"2";"1";"8";"7";"9";"5";"8";"0";"1";"6";"0";"1";"6";"15";"4";"2";"0";"0";"0";"0";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Dhal Singh Bisen";"Balaghat";"No";"99.47%";"73";"189";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"71";"Male";"Diploma Course";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"35";"26";"4";"1";"0";"0";"7";"0";"0";"2";"17";"4";"1";"12";"6";"9";"1";"2";"8";"0";"7";"5";"2";"8";"3";"2";"10";"4";"1";"1";"0";"7";"13";"3";"2";"2";"0";"1";"1";"3";"3";"2";"1";"7";"1";"2";"2";"0";"0";"6";"4";"1";"2";"5";"0";"0";"0";"5";"0";"5";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dhanush M Kumar";"Tenkasi";"No";"98.80%";"121";"490";"2";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"23-05-2019";"In Office";"First Term";"48";"Male";"Professional Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"5";"101";"2";"1";"0";"3";"8";"1";"0";"12";"45";"0";"30";"15";"11";"8";"16";"10";"14";"0";"4";"8";"0";"35";"17";"0";"11";"16";"9";"12";"0";"0";"25";"1";"10";"27";"0";"0";"9";"0";"3";"4";"5";"10";"0";"7";"6";"2";"0";"23";"13";"7";"22";"3";"2";"1";"12";"1";"1";"4";"9";"3";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dharambir";"Bhiwani-Mahendragarh";"No";"95.20%";"43";"215";"0";"Haryana";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"68";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"26";"13";"1";"1";"0";"1";"1";"0";"0";"3";"20";"6";"1";"8";"1";"5";"5";"1";"1";"0";"10";"6";"0";"20";"11";"3";"5";"10";"0";"0";"0";"0";"7";"0";"0";"13";"1";"2";"6";"2";"0";"7";"2";"6";"3";"2";"4";"6";"2";"4";"1";"4";"7";"3";"0";"1";"5";"0";"0";"9";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dharmendra Kumar";"Aonla";"No";"94.47%";"8";"138";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Second Term";"55";"Male";"Matric";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"4";"1";"0";"0";"0";"3";"0";"0";"5";"9";"8";"3";"9";"2";"1";"0";"1";"4";"0";"1";"1";"0";"8";"4";"3";"6";"7";"4";"0";"0";"0";"16";"0";"2";"2";"0";"2";"3";"0";"0";"4";"0";"8";"3";"0";"1";"2";"0";"7";"0";"3";"0";"1";"0";"0";"1";"1";"3";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dibyendu Adhikari";"Tamluk";"No";"21.80%";"1";"197";"0";"West Bengal";"All India Trinamool Congress";"Elected";"23-05-2019";"In Office";"Second Term";"47";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"13";"1";"0";"11";"4";"9";"1";"1";"1";"1";"6";"5";"0";"6";"13";"3";"7";"4";"3";"2";"0";"1";"8";"2";"5";"6";"3";"3";"9";"0";"3";"4";"4";"10";"2";"5";"3";"3";"1";"5";"8";"4";"4";"2";"1";"0";"0";"1";"0";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dileshwar Kamait";"Supaul";"No";"97.20%";"56";"304";"4";"Bihar";"Janata Dal (United)";"Elected";"23-05-2019";"In Office";"First Term";"78";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"19";"18";"9";"1";"0";"3";"6";"0";"0";"1";"26";"0";"2";"17";"6";"9";"5";"6";"9";"2";"10";"7";"7";"11";"2";"1";"17";"11";"7";"5";"0";"2";"11";"1";"6";"4";"2";"3";"12";"1";"1";"9";"5";"7";"4";"2";"2";"4";"0";"13";"7";"3";"5";"4";"0";"1";"6";"1";"4";"10";"6";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dilip Ghosh";"Medinipur";"No";"86.73%";"11";"32";"0";"West Bengal";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"59";"Male";"Professional Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"2";"5";"3";"0";"0";"1";"0";"0";"0";"1";"0";"0";"2";"0";"1";"1";"1";"1";"1";"2";"0";"0";"2";"0";"1";"2";"1";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"3";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dilip Saikia";"Mangaldoi";"No";"82.27%";"42";"354";"3";"Assam";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"50";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"12";"15";"3";"3";"0";"3";"5";"1";"14";"7";"16";"1";"15";"14";"8";"10";"6";"7";"12";"2";"11";"11";"1";"15";"9";"2";"11";"12";"8";"1";"0";"7";"11";"2";"8";"13";"2";"4";"12";"2";"3";"5";"7";"9";"3";"0";"5";"0";"2";"12";"4";"6";"7";"3";"3";"1";"3";"0";"0";"10";"9";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Dimple Yadav";"Mainpuri";"No";"72.17%";"8";"16";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"12-12-2022";"In Office";"Third Term";"46";"Female";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"3";"1";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dinesh Chandra Yadav";"Madhepura";"No";"84.00%";"35";"128";"0";"Bihar";"Janata Dal (United)";"Elected";"23-05-2019";"In Office";"Fourth Term";"72";"Male";"Diploma Course";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"9";"21";"0";"0";"0";"0";"5";"0";"0";"2";"14";"0";"1";"10";"2";"1";"0";"1";"1";"0";"5";"5";"1";"7";"20";"2";"6";"5";"0";"2";"0";"1";"2";"1";"3";"3";"1";"2";"1";"0";"1";"2";"3";"4";"2";"1";"0";"0";"0";"4";"3";"1";"0";"0";"0";"0";"0";"0";"0";"5";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dinesh Lal ""Nirahua"" Yadav";"Azamgarh";"No";"92.00%";"3";"36";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"26-06-2022";"In Office";"First Term";"";"Male";"Information Not Available";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"4";"0";"1";"0";"2";"0";"0";"1";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"2";"2";"1";"0";"1";"0";"1";"0";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Diya Kumari";"Rajsamand";"No";"89.64%";"31";"198";"2";"Rajasthan";"Bharatiya Janata Party";"Elected";"23-05-2019";"07-12-2023";"First Term";"53";"Female";"Doctorate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"15";"7";"3";"1";"0";"0";"5";"0";"0";"3";"12";"2";"7";"10";"0";"9";"3";"5";"4";"1";"12";"4";"2";"9";"3";"0";"10";"6";"12";"1";"0";"1";"7";"0";"4";"5";"0";"2";"5";"0";"3";"5";"1";"9";"3";"1";"3";"3";"0";"7";"5";"2";"3";"3";"0";"1";"1";"1";"0";"1";"1";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"D.K. Suresh";"Bangalore Rural";"No";"72.13%";"21";"395";"0";"Karnataka";"Indian National Congress";"Elected";"23-05-2019";"In Office";"Third Term";"57";"Male";"Inter/ Higher Secondary";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"2";"2";"1";"4";"0";"2";"10";"0";"0";"9";"29";"3";"3";"17";"10";"12";"7";"8";"10";"0";"17";"7";"2";"27";"19";"5";"14";"4";"3";"3";"0";"1";"17";"2";"7";"10";"3";"8";"12";"3";"7";"15";"8";"5";"5";"4";"5";"1";"2";"15";"6";"0";"5";"5";"0";"5";"1";"2";"3";"13";"6";"6";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"D.M. Kathir Anand";"Vellore";"No";"67.36%";"32";"262";"5";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"09-08-2019";"In Office";"First Term";"49";"Male";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"6";"9";"4";"2";"0";"2";"8";"1";"0";"5";"18";"1";"1";"4";"6";"4";"3";"5";"10";"4";"7";"3";"1";"13";"11";"6";"2";"3";"5";"5";"0";"3";"10";"5";"11";"7";"0";"3";"6";"4";"9";"8";"5";"5";"3";"2";"1";"10";"1";"6";"7";"2";"9";"1";"0";"3";"3";"0";"2";"11";"2";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DNV Senthilkumar S.";"Dharmapuri";"No";"98.80%";"316";"511";"6";"Tamil Nadu";"Dravida Munnetra Kazhagam";"Elected";"23-05-2019";"In Office";"First Term";"46";"Male";"Professional Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"16";"253";"19";"5";"0";"3";"16";"1";"0";"6";"59";"2";"22";"27";"15";"6";"9";"7";"21";"2";"11";"10";"1";"40";"20";"0";"10";"14";"7";"15";"0";"0";"24";"4";"12";"18";"1";"4";"9";"2";"1";"12";"4";"7";"0";"9";"14";"0";"0";"21";"10";"4";"10";"6";"3";"0";"4";"0";"0";"6";"8";"8";"5";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Dulal Chandra Goswami";"Katihar";"No";"96.33%";"48";"175";"0";"Bihar";"Janata Dal (United)";"Elected";"23-05-2019";"In Office";"First Term";"56";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"8";"21";"5";"2";"0";"0";"11";"1";"0";"4";"5";"2";"2";"8";"4";"5";"7";"6";"3";"2";"8";"5";"1";"10";"4";"1";"5";"6";"4";"1";"0";"1";"0";"1";"7";"2";"0";"3";"9";"4";"0";"3";"1";"3";"1";"1";"5";"1";"2";"3";"6";"5";"2";"0";"0";"3";"0";"0";"2";"9";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Durga Das (D.D.) Uikey";"Betul";"No";"95.87%";"20";"57";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"First Term";"60";"Male";"Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"4";"15";"0";"0";"0";"1";"0";"0";"0";"2";"3";"0";"1";"1";"0";"3";"1";"1";"4";"0";"1";"1";"1";"0";"0";"0";"3";"3";"2";"1";"0";"2";"1";"0";"1";"2";"0";"0";"2";"0";"3";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"0";"3";"0";"0";"0";"1";"0";"2";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Dushyant Singh";"Jhalawar-Baran";"No";"83.27%";"75";"258";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Fourth Term";"50";"Male";"Professional Post Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"11";"46";"1";"2";"2";"2";"8";"0";"0";"7";"21";"1";"6";"5";"3";"15";"5";"4";"3";"5";"7";"4";"0";"16";"13";"3";"9";"8";"2";"2";"0";"1";"8";"1";"8";"9";"5";"6";"2";"1";"5";"6";"1";"11";"0";"0";"0";"4";"3";"2";"9";"1";"1";"2";"1";"4";"2";"3";"0";"7";"6";"8";"2";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"D.V. Sadananda Gowda";"Bangalore North";"Yes";"66.90%";"0";"0";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Fourth Term";"70";"Male";"Professional Graduate";"This MP was a minister from May 30, 2019 to July 07, 2021. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"E. T. Mohammed Basheer";"Ponnani";"No";"94.73%";"102";"224";"5";"Kerala";"Indian Union Muslim League";"Elected";"23-05-2019";"In Office";"Third Term";"77";"Male";"Inter/ Higher Secondary";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"9";"13";"48";"3";"1";"6";"16";"1";"0";"1";"16";"6";"0";"5";"6";"8";"2";"2";"4";"4";"4";"5";"0";"12";"12";"8";"7";"3";"4";"1";"0";"2";"13";"7";"14";"10";"0";"0";"5";"1";"0";"6";"4";"2";"0";"2";"1";"2";"6";"3";"3";"4";"2";"3";"0";"1";"3";"1";"1";"9";"4";"3";"1";"0";"1";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Faggan Singh Kulaste";"Mandla";"Yes";"";"0";"0";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"23-05-2019";"In Office";"Sixth Term";"64";"Male";"Post Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Farooq Abdullah";"Srinagar";"No";"64.53%";"11";"11";"0";"Jammu and Kashmir";"Jammu and Kashmir National Conference";"Elected";"23-05-2019";"In Office";"Fourth Term";"86";"Male";"Graduate";"Data corresponds to the period from 01-06-2019 to 10-02-2024.";"17th";"0";"4";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"1";"3";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
