"Name";"Constituency";"Attendance";"Debates";"Questions";"Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Lok Sabha";"Debates (Ls - Matters Under (Rule-377))";"Debates (Special Mention)";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Budget (Railways))";"Debates (Submissions By Members)";"Debates (Motion Of Thanks On The President'S Address)";"Questions (Housing And Urban Affairs)";"Questions (Steel)";"Questions (Women And Child Development)";"Questions (Home Affairs)";"Questions (Finance)";"Questions (Defence)";"Questions (Health And Family Welfare)";"Questions (Civil Aviation)";"Questions (Railways)";"Questions (Commerce And Industry)";"Questions (Drinking Water And Sanitation)";"Questions (Coal)";"Questions (Water Resources, River Development And Ganga Rejuvenation)";"Questions (External Affairs)";"Questions (Textiles)";"Questions (Urban Development)";"Questions (Prime Minister)";"Questions (Shipping)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Labour And Employment)";"Questions (Culture)";"Questions (Power)";"Questions (Agriculture And Farmers Welfare)";"Questions (Human Resource Development)";"Questions (Agriculture)";"Questions (Road Transport And Highways)";"Questions (Minority Affairs)";"Questions (Mines)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Environment, Forests And Climate Change)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Petroleum And Natural Gas)";"Questions (New And Renewable Energy)";"Questions (Tourism)";"Questions (Information And Broadcasting)";"Questions (Social Justice And Empowerment)";"Questions (Micro, Small And Medium Enterprises)";"Debates (Private Members' Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Questions (Communications)";"Questions (Environment, Forest And Climate Change)";"Questions (Food Processing Industries)";"Questions (Tribal Affairs)";"Questions (Electronics And Information Technology)";"Questions (Youth Affairs And Sports)";"Questions (Chemicals And Fertilizers)";"Questions (Panchayati Raj)";"Questions (Ayush)";"Questions (Science And Technology)";"Questions (Law And Justice)";"Questions (Statistics And Programme Implementation)";"Questions (Skill Development And Entrepreneurship)";"Questions (Corporate Affairs)";"Questions (Earth Sciences)";"Questions (Skill Development, Entrepreneurship, Youth Affairs And Sports)";"Questions (Development Of North Eastern Region)";"Debates (Private Members' Bills)";"Debates (Statutory Resolution And Government Bill)";"Questions (Planning)";"Questions (Water Resources)";"Debates (Government Resolutions)";"Questions (Overseas Indian Affairs)";"Debates (Others)";"Debates (Adjournment Motion)";"Questions (Personnel, Public Grievances And Pensions)";"Debates (Felicitations)";"Questions (Parliamentary Affairs)";"Debates (Ls - No-Confidence Motion (Rule-198))";"Debates (Clarification On The Statement By Minister)";"Debates (Statutory Resolutions)";"Debates (Budget (States))";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Debates (Ls - Personal Explanation By Members (Rule-357))";"Questions (Atomic Energy)"
"Fatepara Devajibhai Govindbhai";"Surendranagar";"84.24%";"5";"221";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"60";"Male";"Under Matric";"16th";"0";"5";"0";"0";"0";"0";"0";"0";"2";"0";"3";"6";"15";"3";"16";"11";"13";"3";"2";"5";"6";"1";"1";"2";"2";"2";"4";"3";"4";"8";"8";"4";"1";"11";"9";"10";"3";"2";"0";"5";"9";"6";"5";"4";"1";"3";"3";"0";"0";"0";"3";"3";"0";"0";"2";"3";"1";"2";"0";"3";"1";"3";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Feroze Varun Gandhi";"Sultanpur";"75.82%";"16";"427";"9";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"39";"Male";"Graduate";"16th";"6";"6";"1";"0";"0";"1";"0";"0";"0";"5";"5";"16";"20";"19";"15";"17";"7";"15";"4";"5";"4";"10";"4";"3";"6";"13";"2";"7";"22";"15";"4";"3";"8";"20";"18";"3";"1";"16";"7";"14";"10";"7";"5";"5";"7";"4";"4";"0";"1";"2";"7";"4";"9";"3";"7";"6";"4";"6";"8";"8";"0";"2";"3";"6";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gajanan Chandrakant Kirtikar";"Mumbai-North-West";"80.41%";"77";"1017";"8";"Maharashtra";"Shiv Sena";"Elected";"18-May-14";"In office";"First";"75";"Male";"Graduate";"16th";"18";"34";"7";"10";"3";"3";"0";"1";"3";"2";"7";"55";"64";"33";"66";"40";"59";"46";"1";"13";"18";"25";"10";"9";"19";"29";"7";"24";"9";"18";"15";"14";"48";"54";"12";"41";"5";"4";"11";"23";"25";"18";"10";"20";"11";"10";"3";"0";"0";"7";"16";"1";"3";"4";"16";"18";"0";"5";"18";"11";"3";"5";"10";"10";"1";"3";"0";"0";"3";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gajendrasingh Shekhawat";"Jodhpur";"90.17%";"320";"312";"2";"Rajasthan";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"51";"Male";"Post Graduate";"16th";"10";"269";"9";"12";"3";"3";"10";"2";"1";"3";"10";"9";"21";"7";"23";"5";"16";"8";"3";"0";"9";"3";"4";"8";"7";"3";"5";"12";"9";"9";"2";"8";"7";"16";"2";"5";"3";"1";"2";"8";"6";"5";"10";"3";"5";"5";"5";"0";"0";"1";"2";"3";"6";"3";"8";"4";"2";"7";"0";"2";"1";"0";"1";"2";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Ganesh Singh";"Satna";"85.71%";"149";"393";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Third";"56";"Male";"Post Graduate";"16th";"28";"75";"11";"17";"3";"2";"6";"5";"3";"3";"18";"16";"8";"8";"20";"14";"20";"5";"4";"2";"7";"6";"8";"2";"12";"2";"5";"10";"15";"9";"4";"5";"10";"28";"12";"13";"0";"1";"2";"4";"11";"9";"6";"5";"5";"10";"10";"0";"0";"2";"14";"1";"2";"3";"5";"5";"2";"4";"0";"7";"0";"3";"8";"0";"1";"0";"0";"0";"2";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"George Baker";"Nom";"98.31%";"33";"257";"0";"";"Bharatiya Janata Party";"Nominated";"10-Aug-15";"In office";"First";"72";"Male";"Inter/ Higher Secondary";"16th";"4";"23";"3";"0";"2";"0";"1";"0";"8";"0";"6";"7";"11";"5";"13";"13";"11";"7";"5";"2";"1";"5";"2";"3";"2";"2";"0";"0";"3";"8";"5";"3";"9";"14";"0";"6";"1";"2";"5";"0";"6";"7";"8";"3";"3";"2";"2";"0";"0";"5";"9";"4";"0";"5";"4";"6";"1";"11";"6";"4";"0";"1";"6";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"G. Hari";"Arakkonam";"88.18%";"60";"533";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"In office";"First";"58";"Male";"Post Graduate";"16th";"11";"19";"5";"15";"3";"4";"0";"3";"4";"4";"9";"41";"48";"17";"32";"35";"30";"19";"5";"10";"5";"15";"6";"6";"9";"3";"2";"21";"2";"10";"2";"13";"11";"35";"7";"27";"1";"0";"0";"11";"13";"20";"4";"1";"7";"2";"0";"0";"0";"9";"6";"0";"0";"3";"1";"9";"1";"1";"2";"2";"1";"2";"1";"5";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Giriraj Singh";"Nawada";"84.00%";"0";"5";"0";"Bihar";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"66";"Male";"Graduate";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Godam Nagesh";"Adilabad";"80.82%";"4";"12";"0";"Telangana";"Telangana Rashtra Samithi";"Elected";"18-May-14";"In office";"First";"54";"Male";"Post Graduate";"16th";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Godse Hemant Tukaram";"Nashik";"88.59%";"32";"442";"0";"Maharashtra";"Shiv Sena";"Elected";"18-May-14";"In office";"First";"48";"Male";"Diploma Course";"16th";"2";"25";"0";"2";"1";"2";"0";"0";"4";"5";"14";"9";"18";"14";"22";"11";"15";"12";"5";"9";"4";"6";"4";"5";"13";"3";"6";"7";"12";"6";"7";"11";"7";"12";"13";"6";"8";"2";"6";"2";"14";"11";"7";"5";"0";"8";"10";"0";"0";"9";"8";"10";"7";"4";"10";"9";"9";"10";"2";"1";"2";"4";"12";"5";"2";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Gokaraju Ganga Raju";"Narsapuram";"80.00%";"2";"228";"0";"Andhra Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"74";"Male";"Graduate";"16th";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"8";"23";"2";"27";"6";"9";"8";"3";"8";"3";"2";"2";"1";"4";"0";"1";"6";"5";"4";"1";"5";"12";"15";"1";"4";"0";"2";"3";"6";"3";"10";"7";"2";"0";"0";"1";"0";"0";"4";"4";"1";"0";"5";"2";"1";"0";"4";"2";"3";"3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gopal Chinayya Shetty";"Mumbai-North";"99.82%";"119";"465";"32";"Maharashtra";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"65";"Male";"Under Matric";"16th";"22";"58";"15";"9";"4";"3";"2";"1";"6";"2";"6";"19";"28";"20";"19";"9";"23";"18";"4";"4";"10";"12";"12";"6";"3";"1";"8";"9";"16";"12";"5";"13";"20";"26";"1";"5";"0";"0";"2";"8";"15";"18";"3";"1";"5";"11";"15";"4";"1";"7";"9";"0";"2";"2";"11";"2";"1";"3";"4";"9";"1";"2";"2";"5";"1";"0";"0";"0";"6";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gourav Gogoi";"Kaliabor";"76.12%";"83";"307";"6";"Assam";"Indian National Congress";"Elected";"18-May-14";"In office";"First";"36";"Male";"Post Graduate";"16th";"12";"30";"15";"8";"5";"1";"7";"1";"3";"0";"6";"18";"24";"13";"13";"9";"18";"15";"5";"3";"11";"6";"1";"6";"4";"3";"6";"2";"11";"7";"1";"10";"9";"16";"3";"12";"0";"0";"1";"6";"6";"7";"4";"2";"5";"3";"2";"0";"1";"3";"8";"3";"1";"3";"0";"1";"0";"1";"0";"2";"3";"2";"1";"0";"0";"3";"1";"0";"3";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gowdar Mallikarjunappa Siddeswara";"Davanagere";"67.56%";"4";"260";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Third";"66";"Male";"Matric";"16th";"1";"3";"0";"0";"0";"0";"0";"0";"7";"2";"5";"6";"19";"5";"12";"4";"5";"5";"5";"4";"3";"6";"3";"1";"2";"3";"1";"0";"4";"6";"6";"2";"13";"14";"0";"10";"2";"1";"2";"0";"9";"10";"6";"4";"3";"4";"5";"0";"0";"4";"14";"1";"2";"3";"4";"6";"1";"4";"2";"7";"1";"5";"3";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gurjeet Singh Aujla";"Amritsar";"88.43%";"13";"35";"0";"Punjab";"Indian National Congress";"Elected";"20-Mar-17";"In office";"First";"46";"Male";"Inter/ Higher Secondary";"16th";"1";"11";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"4";"3";"3";"0";"1";"0";"1";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"5";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gyan Singh";"Shahdol";"58.88%";"1";"2";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"25-Nov-16";"In office";"First";"66";"Male";"Under Matric";"16th";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hansraj Gangaram Ahir";"Chandrapur";"88.00%";"10";"115";"4";"Maharashtra";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Fourth";"64";"Male";"Inter/ Higher Secondary";"16th";"0";"2";"0";"4";"1";"1";"0";"1";"0";"4";"2";"5";"4";"7";"4";"3";"4";"4";"1";"3";"3";"3";"2";"2";"3";"0";"0";"5";"3";"2";"1";"1";"0";"4";"7";"2";"1";"1";"1";"6";"3";"2";"0";"2";"1";"4";"2";"0";"0";"0";"0";"1";"2";"0";"0";"1";"1";"0";"2";"3";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haribansh Singh";"Pratapgarh";"90.82%";"34";"1049";"0";"Uttar Pradesh";"Apna Dal";"Elected";"18-May-14";"In office";"First";"68";"Male";"Graduate";"16th";"22";"3";"4";"3";"0";"0";"0";"1";"4";"2";"8";"55";"67";"38";"68";"46";"51";"54";"4";"14";"16";"26";"11";"14";"23";"26";"7";"26";"11";"19";"16";"20";"51";"46";"12";"38";"7";"4";"8";"18";"26";"18";"12";"19";"12";"13";"2";"0";"0";"9";"16";"3";"4";"4";"16";"14";"0";"6";"18";"7";"4";"4";"12";"10";"1";"4";"0";"0";"3";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haribhai Parthibhai Chaudhary";"Banaskantha";"98.00%";"7";"12";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Fourth";"64";"Male";"Graduate";"16th";"3";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hari Manjhi";"Gaya";"97.35%";"19";"257";"0";"Bihar";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"56";"Male";"Under Matric";"16th";"10";"2";"0";"4";"0";"2";"0";"1";"1";"5";"7";"15";"22";"7";"20";"1";"11";"3";"10";"7";"4";"6";"3";"3";"2";"0";"1";"4";"5";"5";"7";"4";"8";"13";"2";"6";"2";"4";"4";"1";"3";"3";"1";"3";"3";"2";"3";"0";"0";"6";"11";"4";"3";"1";"4";"4";"0";"3";"3";"1";"1";"1";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Harinarayan Rajbhar";"Ghosi";"95.82%";"32";"160";"1";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"78";"Male";"Under Matric";"16th";"3";"19";"1";"3";"0";"3";"0";"1";"3";"0";"3";"4";"9";"6";"10";"4";"7";"6";"3";"3";"6";"3";"1";"2";"3";"0";"0";"0";"5";"3";"2";"1";"8";"6";"1";"4";"0";"0";"1";"1";"7";"6";"1";"1";"0";"8";"1";"0";"0";"4";"10";"0";"0";"0";"5";"0";"2";"1";"0";"3";"1";"1";"2";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Harinder Singh Khalsa";"Fatehgarh Sahib";"76.53%";"2";"44";"0";"Punjab";"Aam Aadmi Party";"Elected";"18-May-14";"In office";"Second";"71";"Male";"Post Graduate";"16th";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"7";"0";"1";"4";"2";"1";"2";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"5";"1";"4";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hari Om Pandey";"Ambedkar Nagar";"91.41%";"2";"227";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"62";"Male";"Post Graduate";"16th";"0";"0";"0";"2";"0";"0";"0";"0";"6";"1";"2";"5";"20";"7";"14";"7";"12";"2";"0";"3";"3";"6";"3";"2";"1";"1";"1";"0";"7";"0";"4";"2";"5";"17";"0";"9";"3";"0";"2";"0";"0";"9";"1";"9";"2";"0";"2";"0";"0";"0";"10";"3";"3";"0";"8";"14";"3";"9";"0";"4";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hariom Singh Rathore";"Rajsamand";"84.47%";"61";"243";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"61";"Male";"Graduate";"16th";"16";"33";"2";"4";"1";"1";"2";"1";"2";"2";"5";"11";"19";"21";"12";"9";"16";"2";"2";"4";"5";"2";"6";"4";"5";"3";"0";"1";"8";"6";"6";"4";"9";"11";"2";"5";"0";"2";"2";"3";"2";"3";"1";"10";"2";"3";"2";"0";"0";"0";"2";"0";"1";"2";"1";"6";"2";"4";"2";"6";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Harish Chandra Alias Harish Dwivedi";"Basti";"87.24%";"34";"328";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"45";"Male";"Post Graduate";"16th";"7";"17";"3";"4";"2";"0";"0";"0";"1";"3";"13";"21";"15";"11";"22";"7";"17";"5";"5";"2";"9";"4";"2";"2";"6";"0";"0";"0";"4";"11";"6";"3";"10";"19";"8";"8";"1";"1";"2";"6";"5";"9";"5";"5";"6";"5";"4";"0";"0";"6";"5";"6";"1";"2";"11";"7";"1";"3";"3";"5";"4";"2";"2";"2";"0";"0";"1";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Harishchandra Deoram Chavan";"Dindori";"88.47%";"38";"645";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Third";"67";"Male";"Graduate";"16th";"15";"15";"0";"5";"0";"2";"0";"1";"5";"3";"8";"28";"42";"12";"41";"9";"30";"27";"13";"4";"13";"13";"11";"9";"19";"10";"5";"18";"19";"10";"7";"7";"19";"29";"18";"10";"4";"5";"4";"8";"13";"22";"1";"10";"13";"10";"9";"0";"0";"7";"9";"11";"14";"2";"9";"8";"6";"4";"5";"7";"1";"5";"4";"3";"3";"1";"0";"0";"4";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Harish Chandra Meena";"Dausa";"95.44%";"92";"304";"1";"Rajasthan";"Bharatiya Janata Party";"Elected";"18-May-14";"24-12-2018";"First";"64";"Male";"Graduate";"16th";"21";"54";"4";"3";"2";"1";"6";"1";"2";"0";"5";"35";"31";"5";"25";"9";"14";"6";"9";"0";"4";"2";"0";"3";"11";"0";"4";"4";"6";"2";"1";"8";"9";"24";"0";"7";"2";"0";"1";"4";"5";"5";"5";"2";"1";"6";"2";"0";"0";"1";"3";"0";"8";"5";"6";"1";"2";"1";"0";"4";"2";"3";"2";"2";"0";"0";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"H.D. Devegowda";"Hassan";"57.18%";"20";"0";"0";"Karnataka";"Janata Dal (Secular)";"Elected";"18-May-14";"In office";"Sixth";"85";"Male";"Diploma Course";"16th";"0";"1";"3";"7";"1";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Heena Vaijaykumar Gavit";"Nandurbar";"81.00%";"59";"1098";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"31";"Female";"Professional Post Graduate";"16th";"1";"33";"6";"13";"1";"2";"0";"3";"19";"1";"19";"48";"53";"25";"72";"39";"47";"36";"8";"22";"15";"9";"6";"14";"13";"16";"6";"24";"24";"22";"14";"22";"53";"82";"20";"46";"32";"1";"5";"15";"23";"20";"14";"14";"21";"14";"5";"0";"0";"4";"12";"3";"9";"4";"8";"11";"4";"14";"48";"8";"1";"20";"1";"6";"3";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hema Malini";"Mathura";"40.29%";"17";"210";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"70";"Female";"Matric";"16th";"0";"13";"1";"0";"1";"1";"0";"1";"5";"0";"9";"8";"14";"2";"18";"5";"10";"2";"7";"0";"4";"2";"0";"2";"3";"2";"1";"5";"6";"3";"6";"2";"6";"18";"3";"8";"1";"1";"1";"3";"6";"2";"4";"8";"0";"5";"2";"0";"0";"0";"2";"0";"0";"1";"2";"3";"1";"1";"0";"2";"2";"5";"1";"0";"0";"0";"0";"0";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hemendra Chandra Singh";"Kandhamal";"98.00%";"0";"0";"0";"Odisha";"Biju Janata Dal";"Elected";"18-May-14";"05-09-2014";"First";"51";"Male";"Graduate";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hukamdeo Narayan Yadav";"Madhubani";"97.41%";"38";"31";"0";"Bihar";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Fifth";"79";"Male";"Graduate";"16th";"1";"11";"3";"6";"6";"0";"0";"2";"0";"1";"0";"1";"3";"1";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"4";"2";"0";"0";"0";"0";"0";"1";"1";"0";"1";"3";"1";"4";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Hukum Singh";"Kairana";"90.14%";"57";"202";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"03-02-2018";"First";"81";"Male";"Professional Graduate";"16th";"15";"14";"16";"3";"4";"1";"1";"0";"0";"1";"1";"18";"16";"7";"13";"4";"10";"5";"2";"2";"2";"5";"0";"7";"3";"2";"1";"4";"3";"3";"2";"5";"6";"16";"9";"5";"0";"1";"1";"6";"12";"5";"1";"0";"1";"2";"0";"1";"0";"2";"2";"0";"0";"3";"2";"1";"0";"1";"0";"4";"1";"0";"0";"2";"1";"1";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Idris Ali";"Basirhat";"74.35%";"25";"17";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"First";"68";"Male";"Professional Graduate";"16th";"2";"13";"6";"3";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"1";"2";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Innocent";"Chalakudy";"69.18%";"42";"218";"0";"Kerala";"Independent";"Elected";"18-May-14";"In office";"First";"71";"Male";"Under Matric";"16th";"0";"33";"0";"0";"0";"1";"8";"0";"2";"1";"3";"2";"6";"9";"8";"12";"9";"11";"1";"2";"2";"4";"0";"1";"10";"2";"0";"8";"6";"5";"3";"6";"4";"12";"6";"6";"3";"0";"3";"3";"10";"6";"3";"2";"7";"5";"0";"0";"0";"2";"2";"0";"5";"0";"1";"7";"0";"3";"4";"5";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jadhav Prataprao Ganpatrao";"Buldhana";"71.65%";"51";"492";"0";"Maharashtra";"Shiv Sena";"Elected";"18-May-14";"In office";"Second";"58";"Male";"Under Graduate";"16th";"15";"25";"2";"0";"5";"2";"1";"1";"1";"1";"4";"26";"40";"11";"11";"11";"18";"22";"3";"2";"13";"0";"12";"13";"21";"6";"9";"18";"21";"15";"0";"8";"28";"25";"11";"15";"0";"3";"2";"4";"16";"16";"5";"6";"5";"5";"6";"0";"0";"7";"4";"9";"1";"1";"3";"2";"0";"2";"1";"6";"3";"3";"5";"1";"0";"0";"0";"0";"9";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
