"Date of introduction";"Bill title";"Current Status";"Date - Passage / Withdrawal /Lapsing";"Representative"
"2012-08-09";"The National Highways (Amendment) Bill, 2012 (Substitution of new section for section 5)";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2012-04-27";"The Women and Girl Child (Prevention of Atrocities) Bill, 2012";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2012-04-27";"The Prohibition of Extravagant Expenditure on Marriages Bill, 2011";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2012-04-27";"The Incest Offences Bill, 2012";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2012-04-27";"The Compulsory Imparting of Moral Education in Educational Institutions Bill, 2012";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2011-09-02";"The Maintenance and Welfare of Parents and Senior Citizens (Amendment) Bill, 2011 (Substitution of new Chapter for Chapter IV)";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2011-09-02";"The Farmers (Protection from Natural Calamities and other Welfare Measures) Bill, 2011";"Pending";"";"Mahendrasinh Pruthvisinh Chauhan"
"2010-08-13";"The Representation of the People (Amendment) Bill, 2010 (Insertion of new section 32A, etc.)";"Pending";"";"Maneka Gandhi"
"2012-04-27";"The Hindu Marriage (Amendment) Bill, 2012 (Amendment of section 13)";"Lapsed";"2012-10-29";"Manish Tewari"
"2011-09-02";"The Code of Criminal Procedure (Amendment) Bill, 2011 (Amendment of section 126)";"Lapsed";"2012-10-29";"Manish Tewari"
"2011-08-05";"The Intelligence Services (Powers and Regulation) Bill, 2011";"Lapsed";"2012-10-29";"Manish Tewari"
"2011-02-25";"The Constitution (Amendment) Bill, 2010 (Insertion of new Part IIIA, etc.)";"Lapsed";"2012-10-29";"Manish Tewari"
"2010-08-13";"The Central Bureau of Investigation Bill, 2010";"Lapsed";"2012-10-29";"Manish Tewari"
"2010-03-05";"The Constitution (Amendment) Bill, 2010 (Amendment of the Tenth Schedule)";"Lapsed";"2012-10-29";"Manish Tewari"
"2012-12-07";"The Drugs (Price Control) Bill, 2012";"Pending";"";"M. K. Raghavan"
"2012-12-07";"The High Court of Kerala (Establishment of a Permanent Bench at Kozhikode) Bill, 2012";"Pending";"";"M. K. Raghavan"
"2012-12-07";"The Payment of Compensation to Persons Attacked by Wild Animals Bill, 2012";"Pending";"";"M. K. Raghavan"
"2012-04-27";"The Airlines (Payment of Compensation) Bill, 2011";"Pending";"";"M. K. Raghavan"
"2012-04-27";"The Coconut Growers (Welfare) Bill, 2011";"Pending";"";"M. K. Raghavan"
"2012-04-27";"The Health Insurance Scheme Bill, 2011";"Pending";"";"M. K. Raghavan"
"2011-09-02";"The Indian Penal Code (Amendment) Bill, 2011 (Insertion of new section 376E)";"Pending";"";"M. K. Raghavan"
"2011-09-02";"The Persons with Disabilities (Equal Opportunities and Protection of Rights and Full Participation) Amendment, Bill, 2011 (Amendment of section 26, etc.)";"Pending";"";"M. K. Raghavan"
"2011-09-02";"The Prevention of Cruelty to Animals (Amendment) Bill, 2011 (Omission of section 28)";"Pending";"";"Mohan Jena"
"2011-09-02";"The Protection of Civil Rights (Amendment) Bill, 2011 (Amendment of section 3, etc.)";"Pending";"";"Mohan Jena"
"2013-02-22";"The Bihar Reorganisation (Amendment) Bill, 2013 (Amendment of the Eighth Schedule)";"Pending";"";"Nishikant Dubey"
"2012-08-09";"The National Minimum Pension (Guarantee) Bill, 2011";"Pending";"";"Nishikant Dubey"
"2012-08-09";"The Tourism Promotion Corporation of India Bill, 2011";"Pending";"";"Nishikant Dubey"
"2011-08-05";"The Constitution (Amendment) Bill, 2011 (Insertion of new articles 16A and 29A)";"Pending";"";"Nishikant Dubey"
"2010-03-05";"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2010 (Amendment of the Schedule)";"Pending";"";"Nishikant Dubey"
"2010-04-30";"The Eradication of Unemployment Bill, 2010";"Pending";"";"N.S.V. Chitthan"
"2010-04-30";"The Victims of Natural Calamities (Rehabilitation and Financial Assistance) Bill, 2010";"Pending";"";"N.S.V. Chitthan"
"2012-04-27";"The Slums and Jhuggi-Jhopri Areas Clearance Bill, 2011";"Pending";"";"Om Prakash Yadav"
"2010-08-13";"The Constitution (Amendment) Bill, 2010 (Insertion of new article 279A)";"Pending";"";"Om Prakash Yadav"
"2010-08-13";"The Constitution (Amendment) Bill, 2010 (Insertion of new article 45A)";"Pending";"";"Om Prakash Yadav"
"2010-08-13";"The Palliative Care (Education and Training) Bill, 2010";"Pending";"";"Om Prakash Yadav"
"2010-04-30";"The Ban on Witchcraft Bill, 2010";"Withdrawn";"2012-12-07";"Om Prakash Yadav"
"2009-12-04";"The Basic and Primary Education (Compulsory Teaching in Mother Tongue) Bill, 2009";"Pending";"";"Om Prakash Yadav"
"2009-12-04";"The Constitution (Amendment) Bill, 2009 (Amendment of the Eighth Schedule)";"Pending";"";"Om Prakash Yadav"
"2009-12-04";"The Provision of Communication Facilities in Every Village Bill, 2009";"Pending";"";"Om Prakash Yadav"
"2009-12-04";"The Special Financial Assistance to the State of Bihar Bill, 2009";"Pending";"";"Om Prakash Yadav"
"2012-04-27";"The Central Universities (Amendment) Bill, 2011 (Insertion of new section 3B, etc.)";"Pending";"";"Partap Singh Bajwa"
"2012-12-07";"The Economically Weaker Class Corporation Bill, 2012";"Pending";"";"P.L. Punia"
"2012-12-07";"The Scheduled Castes Hamlets (Provision of Basic Facilities) Bill, 2012";"Pending";"";"P.L. Punia"
"2012-04-27";"The Dalit and Backward Youth Welfare Bill, 2011";"Pending";"";"P.L. Punia"
"2012-04-27";"The Handloom Weavers (Welfare) Bill, 2011";"Pending";"";"P.L. Punia"
"2012-04-27";"The Salt Workers Welfare Bill, 2012";"Pending";"";"P.L. Punia"
"2011-09-02";"The Mega Projects (Timely Completion) Bill, 2011";"Pending";"";"P.L. Punia"
"2011-08-19";"The Constitution (Amendment) Bill, 2011 (Insertion of new article 16A, etc.)";"Pending";"";"P.L. Punia"
"2011-02-25";"The Constitution (Amendment) Bill, 2010 (Insertion of new article 30A)";"Pending";"";"P.L. Punia"
"2011-02-25";"The Micro Finance Institutions (Regulation of Money Lending) Bill, 2010";"Pending";"";"P.L. Punia"
"2011-02-25";"The Renewable Energy Resources Commission Bill, 2010";"Pending";"";"P.L. Punia"
"2011-02-25";"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2010 (Amendment of Section 3, etc.)";"Pending";"";"P.L. Punia"
"2010-03-05";"The Constitution (Amendment) Bill, 2009 (Amendment of article 253)";"Pending";"";"Prabodh Panda"
"2011-08-05";"The Abolition of Capital Punishment Bill, 2011";"Pending";"";"Pradeep Tamta"
"2011-08-05";"The Government Servants (Declaration of Assets and Investigation) Bill, 2011";"Pending";"";"Pradeep Tamta"
"2010-04-30";"The Voluntary Organisation (Regulation) Bill, 2010";"Pending";"";"Pradeep Tamta"
"2010-03-05";"The Abolition of Begging Bill, 2010";"Pending";"";"Prasanta Kumar Majumdar"
"2010-03-05";"The Population Control Bill, 2010";"Pending";"";"Prasanta Kumar Majumdar"
"2013-02-22";"The Indian Forest (Amendment) Bill, 2013 (Amendment of section 2)";"Pending";"";"Prem Das Rai"
"2013-03-08";"The Destitute Children (Rehabilitation and Welfare) Bill, 2011";"Pending";"";"Priya Sunil Dutt"
"2013-03-08";"The Persons with Disabilities (Equal Opportunities, Protection of Rights and Full Participation) Amendment Bill, 2011 (Amendment of section 33)";"Pending";"";"Priya Sunil Dutt"
"2013-03-08";"The Writers and Artists' Social Security Bill, 2011";"Pending";"";"Priya Sunil Dutt"
"2012-12-07";"The Spices Board (Amendment) Bill, 2012 (Omission of sections 16 and 28)";"Withdrawn";"";"P. T. Thomas"
"2012-04-27";"The Overseas Workers (Management and Welfare) Bill, 2011";"Pending";"";"P. T. Thomas"
"2011-02-25";"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2010, (Amendment of the Schedule)";"Withdrawn";"";"P. T. Thomas"
"2011-02-25";"The Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest (Amendment) Bill, 2010 (Amendment of section 14)";"Pending";"";"P. T. Thomas"
"2011-02-25";"The Technical Educational Institutions, Medical Educational Institutions and Universities (Regulation of Fee) Bill, 2010";"Pending";"";"P. T. Thomas"
"2010-04-30";"The Farmers (Old Age Pension) Bill, 2010";"Pending";"";"P. T. Thomas"
"2010-03-05";"The Payment of Bonus (Amendment) Bill, 2010 (Amendment of section 2, etc.)";"Pending";"";"P. T. Thomas"
"2010-03-05";"The Plantations Labour (Amendment) Bill, 2010 (Insertion of new Chapter IVA, etc.)";"Pending";"";"P. T. Thomas"
"2009-12-04";"The Payment of Gratuity (Amendment) Bill, 2009 (Amendment of Section 4)";"Pending";"";"P. T. Thomas"
"2012-04-27";"The Constitution (Amendment) Bill, 2012 (Amendment of article 171)";"Pending";"";"Raghuvansh Prasad Singh"
"2012-04-27";"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2012 (Amendment of the Schedule)";"Pending";"";"Raghuvansh Prasad Singh"
"2011-02-25";"The Commission for Fixation of Prices of Essential Commodities Bill, 2010";"Pending";"";"Raghuvansh Prasad Singh"
"2010-08-13";"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2010 (Amendment of the Schedule)";"Pending";"";"Raghuvansh Prasad Singh"
"2010-03-05";"The Constitution (Amendment) Bill, 2009 (Amendment of article 243A)";"Pending";"";"Raghuvansh Prasad Singh"
"2012-08-09";"The Constitution (Amendment) Bill, 2011, (Insertion of new Chapter VIA, etc.)";"Pending";"";"Rajagopal Lagadapati"
"2012-08-09";"The Consumer Protection (Amendment) Bill, 2012 (Amendment of section 16)";"Withdrawn";"";"Rajagopal Lagadapati"
"2012-08-09";"The Land Acquisition (Amendment) Bill, 2011. (Insertion of new section 44C)";"Withdrawn";"";"Rajagopal Lagadapati"
"2011-03-11";"The Representation of the People (Amendment) Bill, 2011 (Amendment of section 7, etc.)";"Pending";"";"Rajagopal Lagadapati"
"2011-02-25";"The Commission of Sati (Prevention) Amendment Bill, 2010 (Amendment of section 2, etc.)";"Pending";"";"Rajagopal Lagadapati"
"2011-02-25";"The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Amendment Bill, 2010 (Amendment of section 2)";"Pending";"";"Rajagopal Lagadapati"
"2010-04-30";"The Prevention of Insults to National Honour (Amendment) Bill, 2010 (Insertion of new section 2A)";"Pending";"";"Rajagopal Lagadapati"
"2010-04-30";"The Prohibition on Use of Caste or Religious Title Bill, 2009";"Pending";"";"Rajagopal Lagadapati"
"2009-07-31";"The Constitution (Amendment) Bill, 2009 (Insertion of new article 21B)";"Pending";"";"Rajagopal Lagadapati"
"2009-07-31";"The Constitution (Scheduled Castes) Orders (Amendment) Bill, 2009";"Pending";"";"Rajagopal Lagadapati"
"2009-07-31";"The Disruption of Proceedings of Parliament (Disentitlement of Daily Allowance to Members and Termination of Membership) Bill, 2009";"Pending";"";"Rajagopal Lagadapati"
"2009-07-31";"The High Court of Andhra Pradesh (Establishment of a Permanent Bench at Vijayawada) Bill, 2009";"Pending";"";"Rajagopal Lagadapati"
"2012-08-09";"The Constitution (Amendment) Bill, 2012 (Amendment of articles 85 and 100)";"Pending";"";"Rajan Sushant"
"2010-04-30";"The Agricultural and Processed Food Products Export Development Authority (Amendment) Bill, 2010 (Amendment of section, 4, etc.)";"Pending";"";"Rajendra Agrawal"
"2010-03-05";"The High Court at Allahabad (Establishment of a Permanent Bench at Meerut) Bill, 2010";"Pending";"";"Rajendra Agrawal"
"2011-03-11";"The National Agricultural Produce Price Commission Bill, 2011";"Pending";"";"Raju Shetti"
"2013-02-22";"The Computer Training Centres (Regulation) Bill, 2013";"Pending";"";"Rakesh Singh"
"2013-02-22";"The Prevention of Female Infanticide Bill, 2013";"Pending";"";"Rakesh Singh"
"2013-02-22";"The Special Financial Assistance to the State of Madhya Pradesh Bill, 2013";"Pending";"";"Rakesh Singh"
"2012-12-07";"The Prohibition of Ragging and Unfair Practices in Educational Institutions and Universities Bill, 2012";"Pending";"";"Rakesh Singh"
"2013-03-08";"The Nationalisation of Inter-State Rivers Bill, 2013";"Pending";"";"Ramen Deka"
"2012-04-27";"The Provision of Free Medical and Engineering Education to Meritorious Students Bill, 2012";"Pending";"";"Ramen Deka"
"2010-03-05";"The High Court at Allahabad (Establishment of a Permanent Bench at Agra) Bill, 2009";"Pending";"";"Ramshankar"
"2012-08-09";"The Central Universities (Amendment) Bill, 2012 (Amendment of section 3)";"Pending";"";"Ranjan Prasad Yadav"
"2009-12-04";"The Constitution (Amendment) Bill, 2009 (Insertion of new articles 275A and 371J)";"Withdrawn";"2011-08-19";"Ranjan Prasad Yadav"
"2012-12-07";"The Constitution (Amendment) Bill, 2012 (Amendment of article 25)";"Pending";"";"Rattan Singh Ajnala"
"2012-12-07";"The Abolition of Begging Bill, 2012";"Pending";"";"R. Thamaraiselvan"
"2012-12-07";"The Constitution (Amendment) Bill, 2012 (Amendment of article 130)";"Pending";"";"R. Thamaraiselvan"
"2012-12-07";"The Education Loan Bill, 2012";"Pending";"";"R. Thamaraiselvan"
"2012-04-27";"The Persons Living in Coastal Zone (Rehabilitation and Welfare) Bill, 2011";"Pending";"";"Sanjeev Ganesh Naik"
"2010-08-13";"The Constitution (Amendment) Bill, 2010 (Insertion of new article 16A)";"Pending";"";"Sanjeev Ganesh Naik"
"2012-12-07";"The Constitution (Amendment) Bill, 2012 (Amendment of the Eighth Schedule)";"Pending";"";"Saroj Pandey"
"2011-03-11";"The Constitution (Amendment) Bill, 2010 (Amendment of article 51A)";"Pending";"";"Saroj Pandey"
"2011-03-11";"The Constitution (Amendment) Bill, 2010 (Amendment of articles 84 and 173)";"Pending";"";"Saroj Pandey"
"2011-03-11";"The Empowerment of Women Bill, 2010";"Pending";"";"Saroj Pandey"
"2012-04-27";"The Constitution (Amendment) Bill, 2011 (Amendment of articles 85 and 174)";"Pending";"";"Satpal Maharaj"
"2012-04-27";"The Constitution (Amendment) Bill, 2011 (Insertion of new article 24A)";"Pending";"";"Satpal Maharaj"
"2012-04-27";"The Constitution (Amendment) Bill, 2011 (Insertion of new article 30A)";"Pending";"";"Satpal Maharaj"
"2010-08-13";"The Constitution (Amendment) Bill, 2010 (Amendment of the Eighth Schedule)";"Withdrawn";"2012-04-27";"Satpal Maharaj"
"2010-08-13";"The Economically Weaker Class (Provision of Certain Facilities) Bill, 2010";"Pending";"";"Satpal Maharaj"
"2010-04-30";"The Persons Living Below Poverty Line (Identification) Bill, 2010";"Pending";"";"Satpal Maharaj"
"2010-03-05";"The Compulsory Teaching of Yoga in Educational Institutions Bill, 2010";"Pending";"";"Satpal Maharaj"
"2010-03-05";"The High Court of Uttarakhand (Establishment of a Permanent Bench at Narendranagar) Bill, 2010";"Pending";"";"Satpal Maharaj"
"2009-12-04";"The Forest (Conservation) Amendment Bill, 2009 (Insertion of new sections 3C and 3D)";"Pending";"";"Satpal Maharaj"
"2009-12-04";"The Constitution (Amendment) Bill, 2009 (Amendment of article 48)";"Pending";"";"Shailendra Kumar"
"2009-12-04";"The Poor and Destitute Agricultural Workers and Artisans (Welfare) Bill, 2009";"Pending";"";"Shailendra Kumar"
"2009-12-04";"The Street Children (Rehabilitation and Welfare) Bill, 2009";"Pending";"";"Shailendra Kumar"
"2012-04-27";"The Establishment of Permanent Benches of High Courts at State Capitals Bill, 2012";"Lapsed";"2012-10-29";"Shashi Tharoor"
"2012-04-27";"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2011 (Amendment of section 6, etc.)";"Pending";"";"S. Semmalai"
"2011-09-02";"The Displaced Persons Welfare Bill, 2011";"Pending";"";"S. Semmalai"
"2011-09-02";"The Mahatma Gandhi National Rural Employment Guarantee (Amendment) Bill, 2011 (Amendment of Schedule II)";"Pending";"";"S. Semmalai"
"2011-08-05";"The Constitution (Amendment) Bill, 2011 (Amendment of articles 15 and 16)";"Pending";"";"S. Semmalai"
"2012-12-07";"The Fishermen (Welfare) Bill, 2012";"Pending";"";"S.S. Ramasubbu"
"2012-12-07";"The Special Educational Facilities (For Children of Parents Living Below Poverty Line) Bill, 2012";"Pending";"";"S.S. Ramasubbu"
"2012-04-27";"The Code of Criminal Procedure (Amendment) Bill, 2012 (Amendment of section 164A)";"Pending";"";"Sumitra Mahajan"
"2010-03-05";"The Deposit Insurance and Credit Guarantee Corporation (Amendment) Bill, 2009 (Amendment of section 21)";"Pending";"";"Sumitra Mahajan"
"2011-09-02";"The Girls (Free and Compulsory) Education Bill, 2010";"Pending";"";"Supriya Sule"
"2010-04-30";"The Anti-Hijacking (Amendment) Bill, 2010 (Insertion of new section 4A)";"Pending";"";"Supriya Sule"
"2010-04-30";"The Compulsory Registration of Marriages Bill, 2009";"Pending";"";"Supriya Sule"
"2010-04-30";"The Two Child Norm Bill, 2009";"Pending";"";"Supriya Sule"
"2009-12-04";"The Compulsory Voting Bill, 2009";"Pending";"";"Supriya Sule"
"2013-03-08";"The Powerloom Sector (Welfare) Bill, 2013";"Pending";"";"Suresh Kashinath Taware"
"2012-04-27";"The Commercial Crops Workers (Welfare) Bill, 2012";"Lapsed";"2012-10-29";"Suresh Kodikunnil"
"2012-04-27";"The Economically Weaker Class Corporation Bill, 2012";"Lapsed";"2012-10-29";"Suresh Kodikunnil"
"2012-04-27";"The Fishermen (Welfare) Bill, 2012";"Lapsed";"2012-10-29";"Suresh Kodikunnil"
"2012-04-27";"The Scheduled Castes Hamlets (Provision of Basic Facilities) Bill, 2012";"Lapsed";"2012-10-29";"Suresh Kodikunnil"
"2011-08-05";"The Indian Penal Code (Amendment) Bill, 2011 (Insertion of new sections 302A and 364B)";"Pending";"";"Sushma Swaraj"
"2012-04-27";"The Constitution (Amendment) Bill, 2012 (Insertion of new article 371CA)";"Pending";"";"Thokchom Meinya"
"2013-02-22";"The Abolition of Child Labour Bill, 2013";"Pending";"";"Wakchaure Bhausaheb Rajaram"
"2013-02-22";"The Agricultural Workers (Employment, Conditions of Service and Welfare) Bill, 2013";"Pending";"";"Wakchaure Bhausaheb Rajaram"
"2013-02-22";"The National Commission for Youth Bill, 2013";"Pending";"";"Wakchaure Bhausaheb Rajaram"
"2011-09-02";"The Agricultural Workers Welfare Bill, 2011";"Pending";"";"Wakchaure Bhausaheb Rajaram"
"2011-09-02";"The Beedi Workers Welfare Bill, 2011";"Pending";"";"Wakchaure Bhausaheb Rajaram"
"2011-09-02";"The Right to Information (Amendment) Bill, 2011 (Amendment of section 6 to 8)";"Withdrawn";"2012-04-27";"Wakchaure Bhausaheb Rajaram"
"2010-03-05";"The Private Schools (Regulation) Bill, 2010";"Pending";"";"Wakchaure Bhausaheb Rajaram"
"2011-02-25";"The High Court at Allahabad (Establishment of a Permanent Bench at Gorakhpur) Bill, 2010";"Pending";"";"Yogi Adityanath"
"2010-03-05";"The Constitution (Amendment) Bill, 2009 (Amendment of article 1)";"Pending";"";"Yogi Adityanath"
"2010-03-05";"The Constitution (Amendment) Bill, 2009 (Insertion of new article 25A)";"Pending";"";"Yogi Adityanath"
"2009-07-17";"The Ban on Cow Slaughter Bill, 2009";"Pending";"";"Yogi Adityanath"
"2009-07-17";"The Constitution (Amendment) Bill, 2009 (Omission of article 44, etc.)";"Pending";"";"Yogi Adityanath"
