"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Special Mention)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Budget (Railways))";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Submissions By Members)";"Debates (Ls - Motion To Consider Policy, Situation, Statement Or Any Other Matter (Rule- 191 & 342))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Questions (Tribal Affairs)";"Questions (Finance)";"Questions (Health And Family Welfare)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Railways)";"Questions (Human Resource Development)";"Questions (Urban Development)";"Questions (Home Affairs)";"Questions (Agriculture)";"Questions (Civil Aviation)";"Questions (Prime Minister)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Environment And Forests)";"Questions (Labour And Employment)";"Questions (Defence)";"Questions (Power)";"Questions (Social Justice And Empowerment)";"Questions (Road Transport And Highways)";"Questions (Steel)";"Questions (Petroleum And Natural Gas)";"Questions (Minority Affairs)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Commerce And Industry)";"Questions (Overseas Indian Affairs)";"Questions (External Affairs)";"Questions (Chemicals And Fertilizers)";"Questions (Law And Justice)";"Questions (Mines)";"Questions (Women And Child Development)";"Questions (New And Renewable Energy)";"Questions (Shipping)";"Questions (Tourism)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Information And Broadcasting)";"Questions (Textiles)";"Questions (Water Resources)";"Questions (Culture)";"Questions (Youth Affairs And Sports)";"Questions (Coal)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Drinking Water And Sanitation)";"Questions (Development Of North Eastern Region)";"Questions (Earth Sciences)";"Questions (Panchayati Raj)";"Questions (Food Processing Industries)";"Questions (Statistics And Programme Implementation)";"Questions (Science And Technology)";"Debates (Private Members' Bills)";"Debates (Private Members' Resolutions)";"Debates (Government Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Budget (States))";"Debates (Ls - Matters Of Urgent Public Importance (Rule-184))";"Debates (Statutory Resolutions)";"Debates (Felicitations)";"Debates (Adjournment Motion)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Parliamentary Affairs)";"Debates (Others)";"Debates (Clarification On The Statement By Minister)";"Questions (Planning)";"Debates (Ls - Explanation By Members (Rule-199))";"Questions (Housing And Urban Affairs)";"Questions (Water Resources, River Development And Ganga Rejuvenation)";"Questions (Agriculture And Farmers Welfare)";"Questions (Environment, Forests And Climate Change)";"Questions (Communications)";"Questions (Environment, Forest And Climate Change)";"Questions (Electronics And Information Technology)";"Questions (Ayush)";"Questions (Skill Development And Entrepreneurship)";"Questions (Skill Development, Entrepreneurship, Youth Affairs And Sports)";"Debates (Statutory Resolution And Government Bill)";"Questions (Personnel, Public Grievances And Pensions)";"Debates (Ls - No-Confidence Motion (Rule-198))";"Debates (Ls - Personal Explanation By Members (Rule-357))";"Questions (Atomic Energy)";"Debates (Motion Of Thanks On The President�S Address)";"Questions (Ports, Shipping And Waterways)";"Questions (Jal Shakti)";"Questions (Education)";"Questions (Cooperation)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (Statiscs And Programme Implementation)";"Debates (Discussion)";"Debates (Statement By Minister)";"Questions (Consumer Affairs)";"Questions (Micro)";"Questions (Heavy Industries)";"Questions (Space)";"Questions (Communication)"
"Vinayak Bhaurao Raut";"Ratnagiri-Sindhudurg";"No";"80.88%";"123";"1025";"2";"Maharashtra";"Shiv Sena";"Elected";"18-May-14";"In office";"First";"65.0";"Male";"Post Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"61.0";"16.0";"23.0";"9.0";"3.0";"2.0";"4.0";"0.0";"4.0";"2.0";"57.0";"74.0";"4.0";"6.0";"96.0";"46.0";"17.0";"45.0";"14.0";"33.0";"15.0";"28.0";"0.0";"14.0";"33.0";"21.0";"7.0";"46.0";"4.0";"24.0";"0.0";"26.0";"16.0";"39.0";"1.0";"18.0";"20.0";"10.0";"4.0";"20.0";"11.0";"10.0";"8.0";"10.0";"5.0";"13.0";"4.0";"8.0";"6.0";"15.0";"10.0";"10.0";"0.0";"7.0";"1.0";"11.0";"1.0";"16.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"4.0";"0.0";"5.0";"26.0";"51.0";"11.0";"11.0";"9.0";"7.0";"5.0";"10.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Vincent H Pala";"Shillong";"No";"92.29%";"32";"264";"4";"Meghalaya";"Indian National Congress";"Elected";"18-May-14";"In office";"Second";"51.0";"Male";"Professional Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"12.0";"5.0";"6.0";"3.0";"0.0";"1.0";"1.0";"0.0";"0.0";"6.0";"16.0";"19.0";"1.0";"1.0";"6.0";"9.0";"3.0";"15.0";"2.0";"13.0";"7.0";"7.0";"0.0";"10.0";"5.0";"4.0";"5.0";"7.0";"1.0";"4.0";"3.0";"1.0";"5.0";"10.0";"0.0";"6.0";"1.0";"7.0";"1.0";"5.0";"5.0";"4.0";"3.0";"2.0";"2.0";"1.0";"1.0";"1.0";"3.0";"6.0";"0.0";"5.0";"6.0";"0.0";"3.0";"1.0";"1.0";"1.0";"2.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"3.0";"4.0";"4.0";"3.0";"1.0";"9.0";"4.0";"2.0";"5.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Vinod Khanna";"Gurdaspur";"No";"49.91%";"7";"0";"0";"Punjab";"Bharatiya Janata Party";"Elected";"18-May-14";"27-04-2017";"Fourth";"72.0";"Male";"Under Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"3.0";"0.0";"1.0";"0.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Vinod Kumar Boinapally";"Karimnagar";"No";"76.24%";"106";"553";"10";"Telangana";"Telangana Rashtra Samithi";"Elected";"18-May-14";"In office";"Second";"59.0";"Male";"Professional Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"20.0";"26.0";"25.0";"20.0";"3.0";"3.0";"2.0";"0.0";"3.0";"4.0";"39.0";"26.0";"7.0";"7.0";"13.0";"18.0";"6.0";"22.0";"8.0";"20.0";"20.0";"14.0";"0.0";"10.0";"12.0";"14.0";"6.0";"6.0";"4.0";"13.0";"3.0";"16.0";"7.0";"24.0";"0.0";"13.0";"13.0";"20.0";"5.0";"12.0";"9.0";"6.0";"5.0";"5.0";"13.0";"9.0";"1.0";"11.0";"6.0";"7.0";"3.0";"4.0";"2.0";"3.0";"3.0";"2.0";"0.0";"6.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"1.0";"0.0";"3.0";"0.0";"3.0";"13.0";"12.0";"9.0";"11.0";"6.0";"9.0";"1.0";"4.0";"3.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Vinod Kumar Sonkar";"Kaushambi";"No";"84.82%";"75";"144";"1";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"49.0";"Male";"Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"53.0";"12.0";"2.0";"2.0";"2.0";"2.0";"1.0";"0.0";"0.0";"0.0";"11.0";"3.0";"3.0";"0.0";"6.0";"2.0";"0.0";"6.0";"2.0";"2.0";"3.0";"7.0";"0.0";"4.0";"0.0";"5.0";"4.0";"0.0";"1.0";"10.0";"0.0";"6.0";"10.0";"4.0";"0.0";"2.0";"0.0";"5.0";"0.0";"8.0";"0.0";"0.0";"5.0";"1.0";"0.0";"0.0";"0.0";"3.0";"2.0";"0.0";"0.0";"7.0";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"3.0";"9.0";"2.0";"2.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Virender Kashyap";"Shimla";"No";"92.47%";"61";"216";"0";"Himachal Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"68.0";"Male";"Post Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"28.0";"1.0";"6.0";"9.0";"3.0";"4.0";"2.0";"0.0";"5.0";"4.0";"22.0";"15.0";"1.0";"1.0";"6.0";"20.0";"1.0";"10.0";"2.0";"7.0";"4.0";"3.0";"0.0";"1.0";"6.0";"0.0";"12.0";"8.0";"1.0";"4.0";"0.0";"7.0";"1.0";"3.0";"0.0";"0.0";"1.0";"5.0";"1.0";"2.0";"2.0";"1.0";"2.0";"3.0";"4.0";"1.0";"1.0";"0.0";"4.0";"0.0";"1.0";"0.0";"0.0";"0.0";"4.0";"4.0";"4.0";"3.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"2.0";"5.0";"7.0";"5.0";"5.0";"2.0";"1.0";"0.0";"4.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Virendra Kumar";"Tikamgarh";"Yes";"96.58%";"157";"351";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Sixth";"65.0";"Male";"Doctorate";"This MP was appointed a minister in Sep 2017. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 11th Aug, 2017. (Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"90.0";"25.0";"5.0";"16.0";"6.0";"3.0";"5.0";"0.0";"5.0";"0.0";"24.0";"20.0";"0.0";"0.0";"20.0";"19.0";"6.0";"14.0";"13.0";"5.0";"3.0";"11.0";"0.0";"15.0";"6.0";"7.0";"2.0";"2.0";"7.0";"16.0";"0.0";"5.0";"27.0";"10.0";"4.0";"3.0";"6.0";"5.0";"1.0";"9.0";"2.0";"0.0";"4.0";"0.0";"2.0";"16.0";"1.0";"4.0";"6.0";"3.0";"4.0";"2.0";"0.0";"3.0";"1.0";"2.0";"0.0";"10.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"6.0";"12.0";"6.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Virendra Singh";"Bhadohi";"No";"90.35%";"26";"9";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Third";"62.0";"Male";"Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"7.0";"1.0";"6.0";"4.0";"0.0";"0.0";"0.0";"0.0";"5.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"1.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Vishnu Dayal Ram";"Palamu";"No";"92.18%";"81";"412";"8";"Jharkhand";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"67.0";"Male";"Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"36.0";"31.0";"0.0";"6.0";"3.0";"4.0";"0.0";"0.0";"0.0";"6.0";"18.0";"27.0";"4.0";"6.0";"20.0";"21.0";"1.0";"23.0";"4.0";"2.0";"11.0";"8.0";"0.0";"10.0";"8.0";"9.0";"5.0";"8.0";"6.0";"8.0";"4.0";"7.0";"11.0";"5.0";"0.0";"7.0";"4.0";"3.0";"8.0";"9.0";"6.0";"2.0";"8.0";"5.0";"7.0";"4.0";"0.0";"6.0";"3.0";"12.0";"7.0";"15.0";"7.0";"1.0";"2.0";"6.0";"0.0";"4.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"6.0";"0.0";"3.0";"6.0";"13.0";"5.0";"3.0";"9.0";"3.0";"3.0";"3.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Vitthalbhai Hansrajbhai Radadiya";"Porbandar";"No";"11.88%";"0";"0";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"60.0";"Male";"Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"V. Pannerselvam";"Salem";"No";"70.29%";"22";"163";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"In office";"First";"59.0";"Male";"Professional Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"9.0";"7.0";"3.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"2.0";"16.0";"10.0";"1.0";"2.0";"3.0";"7.0";"3.0";"8.0";"2.0";"11.0";"3.0";"5.0";"0.0";"3.0";"4.0";"2.0";"0.0";"3.0";"1.0";"5.0";"3.0";"0.0";"2.0";"6.0";"0.0";"5.0";"3.0";"1.0";"1.0";"2.0";"1.0";"2.0";"3.0";"1.0";"3.0";"8.0";"0.0";"2.0";"3.0";"0.0";"2.0";"0.0";"0.0";"1.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"6.0";"7.0";"0.0";"2.0";"2.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"V.S. Ugrappa";"Bellary";"No";"82.00%";"2";"0";"0";"Karnataka";"Indian National Congress";"Elected";"12-Dec-18";"In office";"First";"64.0";"Male";"Professional Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"V. Sathyabama";"Tiruppur";"No";"87.00%";"137";"457";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"In office";"First";"47.0";"Female";"Post Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"97.0";"11.0";"3.0";"13.0";"1.0";"3.0";"1.0";"0.0";"7.0";"1.0";"43.0";"18.0";"10.0";"4.0";"9.0";"14.0";"2.0";"22.0";"0.0";"24.0";"17.0";"9.0";"0.0";"8.0";"27.0";"2.0";"8.0";"17.0";"3.0";"9.0";"0.0";"10.0";"3.0";"18.0";"2.0";"13.0";"9.0";"4.0";"1.0";"9.0";"5.0";"7.0";"6.0";"3.0";"4.0";"6.0";"0.0";"7.0";"7.0";"6.0";"2.0";"4.0";"0.0";"0.0";"2.0";"3.0";"0.0";"4.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"2.0";"13.0";"22.0";"4.0";"4.0";"9.0";"9.0";"6.0";"5.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Yashwant Singh";"Nagina";"No";"94.18%";"36";"0";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"57.0";"Male";"Professional Post Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"12.0";"0.0";"4.0";"8.0";"3.0";"4.0";"0.0";"0.0";"4.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Yellaiah Nandi";"Nagarkurnool";"No";"72.76%";"8";"169";"0";"Telangana";"Indian National Congress";"Elected";"18-May-14";"In office";"Sixth";"76.0";"Male";"Matric";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"6.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"1.0";"9.0";"13.0";"0.0";"1.0";"24.0";"5.0";"2.0";"7.0";"1.0";"1.0";"4.0";"13.0";"0.0";"4.0";"8.0";"2.0";"14.0";"3.0";"1.0";"7.0";"0.0";"0.0";"15.0";"2.0";"0.0";"0.0";"0.0";"9.0";"0.0";"1.0";"6.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"5.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"2.0";"2.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Yogi Adityanath";"Gorakhpur";"No";"69.17%";"57";"306";"3";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"21-09-2017";"Fifth";"46.0";"Male";"Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"16.0";"20.0";"5.0";"4.0";"4.0";"2.0";"1.0";"0.0";"3.0";"3.0";"13.0";"26.0";"0.0";"0.0";"15.0";"17.0";"7.0";"26.0";"8.0";"13.0";"2.0";"8.0";"0.0";"8.0";"4.0";"6.0";"2.0";"5.0";"1.0";"3.0";"0.0";"3.0";"6.0";"5.0";"0.0";"21.0";"6.0";"10.0";"0.0";"1.0";"6.0";"2.0";"8.0";"0.0";"6.0";"2.0";"0.0";"6.0";"2.0";"3.0";"3.0";"2.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"5.0";"0.0";"0.0";"8.0";"11.0";"14.0";"2.0";"2.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Y.S. Avinash Reddy";"Kadapa";"No";"44.50%";"8";"241";"0";"Andhra Pradesh";"Yuvajana Sramika Rythu Congress Party";"Elected";"18-May-14";"20-06-2018";"First";"34.0";"Male";"Professional Post Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"1.0";"4.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"23.0";"14.0";"1.0";"0.0";"25.0";"13.0";"2.0";"8.0";"0.0";"10.0";"0.0";"6.0";"0.0";"7.0";"2.0";"4.0";"0.0";"7.0";"4.0";"4.0";"2.0";"0.0";"9.0";"9.0";"0.0";"3.0";"7.0";"2.0";"0.0";"4.0";"2.0";"4.0";"2.0";"1.0";"1.0";"4.0";"0.0";"3.0";"0.0";"2.0";"0.0";"2.0";"0.0";"1.0";"1.0";"3.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"0.0";"1.0";"8.0";"9.0";"1.0";"9.0";"6.0";"5.0";"3.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Y.V. Subba Reddy";"Ongole";"No";"76.14%";"54";"390";"2";"Andhra Pradesh";"Yuvajana Sramika Rythu Congress Party";"Elected";"18-May-14";"20-06-2018";"First";"57.0";"Male";"Professional Post Graduate";"(Data corresponds to the period from 1 Jun 2014 to 13 Feb 2019.)";"16th";"16.0";"14.0";"10.0";"7.0";"2.0";"0.0";"1.0";"0.0";"4.0";"5.0";"31.0";"16.0";"4.0";"0.0";"14.0";"16.0";"5.0";"11.0";"8.0";"17.0";"8.0";"11.0";"0.0";"8.0";"1.0";"2.0";"5.0";"5.0";"1.0";"7.0";"4.0";"10.0";"7.0";"18.0";"0.0";"11.0";"13.0";"12.0";"3.0";"5.0";"4.0";"6.0";"1.0";"6.0";"3.0";"7.0";"0.0";"1.0";"0.0";"6.0";"4.0";"6.0";"0.0";"1.0";"4.0";"7.0";"4.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"10.0";"0.0";"2.0";"8.0";"21.0";"6.0";"4.0";"1.0";"1.0";"7.0";"5.0";"5.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
